Sun Oct 21 2018 21:16:08 GMT-0400 (Eastern Daylight Time): GET  /socket.io/?EIO=3&transport=polling&t=MQPL-oR
Sun Oct 21 2018 21:16:11 GMT-0400 (Eastern Daylight Time): GET  /chat
Sun Oct 21 2018 21:16:13 GMT-0400 (Eastern Daylight Time): GET  /chat
Sun Oct 21 2018 21:16:15 GMT-0400 (Eastern Daylight Time): GET  /socket.io/?EIO=3&transport=polling&t=MQPM0Vr
Sun Oct 21 2018 21:16:16 GMT-0400 (Eastern Daylight Time): GET  /
Sun Oct 21 2018 21:16:21 GMT-0400 (Eastern Daylight Time): GET  /socket.io/?EIO=3&transport=polling&t=MQPM1za
Sun Oct 21 2018 21:16:22 GMT-0400 (Eastern Daylight Time): GET  /
Sun Oct 21 2018 21:16:27 GMT-0400 (Eastern Daylight Time): GET  /
Sun Oct 21 2018 21:16:39 GMT-0400 (Eastern Daylight Time): GET  /
Sun Oct 21 2018 21:18:27 GMT-0400 (Eastern Daylight Time): GET  /
Sun Oct 21 2018 21:18:30 GMT-0400 (Eastern Daylight Time): GET  /chat.html
Sun Oct 21 2018 21:18:35 GMT-0400 (Eastern Daylight Time): GET  /chat
